Winner,weight_class,B_avg_KD,B_avg_SUB_ATT,B_avg_TD_att,B_avg_DISTANCE_landed,B_avg_CLINCH_landed,B_avg_GROUND_landed,B_avg_CTRL_time.seconds.,B_total_title_bouts,B_longest_win_streak,B_losses,B_win_by_KO.TKO,B_win_by_Submission,B_Reach_cms,B_age,B_current_streak,B_win_by_Decision,R_avg_KD,R_avg_SUB_ATT,R_avg_TD_att,R_avg_DISTANCE_landed,R_avg_CLINCH_landed,R_avg_GROUND_landed,R_avg_CTRL_time.seconds.,R_total_title_bouts,R_longest_win_streak,R_losses,R_win_by_KO.TKO,R_win_by_Submission,R_Reach_cms,R_age,R_current_streak,R_win_by_Decision
Blue,WomenFlyweight,0,0.390625,1.28125,67.609375,6.46875,4.3125,76.296875,0,1,3,0,0,167.64,27,1,4,0,0.5,0.625,15.625,9.125,7.125,100.375,0,3,1,3,0,165.1,22,3,0
Red,Welterweight,0.15625,0.015625,3.7890625,31.75,0.96484375,1.4140625,93.09765625,2,3,5,1,0,190.5,32,-1,3,0,0.28125,7.765625,58.7890625,5.606445313,3.00390625,162.3574219,0,4,3,1,1,182.88,32,-1,6
Red,Welterweight,0.271484375,0.657104492,5.139709473,32.83886719,8.055297852,13.31756592,297.2454224,0,6,3,3,4,180.34,34,3,5,0.54296875,0.002441406,10.22607422,68.63427734,32.75683594,18.63867188,731.5102539,4,12,0,2,1,193.04,33,12,9
Red,Featherweight,0.12890625,0.568359375,1.541015625,19.09570313,0.896484375,0.85546875,26.09765625,0,2,4,2,3,167.64,34,1,1,0.0625,0.515625,10.328125,22.90625,4.8125,7.765625,330.046875,0,3,2,1,1,175.26,28,3,3
Red,Middleweight,0.5625,0.125,4,22.8125,3.1875,10.375,67.25,0,2,2,1,0,182.88,32,2,2,0.130874634,0.000137329,2.631286621,21.55487061,4.17350769,0.588256836,71.11103821,2,5,7,3,2,180.34,29,5,5
Blue,CatchWeight,0.5,0.5,0.8125,54.25,1.75,3.9375,56.75,0,3,2,1,0,170.18,29,-1,2,0.03125,0,0.15625,91.65625,2.75,0.03125,44.625,0,2,2,0,0,190.5,33,1,4
Blue,Lightweight,0.039550841,0.002092652,6.519973859,21.26760924,2.14173539,1.106959842,181.2905336,0,4,14,2,4,177.8,39,1,9,0.002096653,0.00390625,0.181462765,44.75282693,0.377397776,0.766393423,16.06794381,1,4,12,4,0,185.42,34,-1,7
Blue,Heavyweight,0.046875,0,0.734375,48.84375,3.1328125,1.5,26.78125,0,4,2,3,0,203.2,32,4,3,0.316196442,0.032226563,3.135906219,22.16676331,10.40517807,42.52327347,301.5439682,1,4,7,9,0,203.2,40,1,3
Blue,Lightweight,0.759773254,0.750267029,2.586479187,22.87870789,2.64100647,1.887374878,176.6449203,0,5,5,3,5,182.88,31,1,5,0.033203125,0.693359375,4.349609375,46.54296875,3.455078125,5.724609375,141.4394531,0,6,2,3,2,187.96,36,2,3
Red,Bantamweight,0.001991272,0.016670942,7.129005954,85.66977824,1.196346417,1.290255904,69.47310568,9,5,9,4,2,172.72,39,3,11,0.546875,0.0625,0.453125,33.765625,0.75,2.796875,39.4375,0,5,1,3,1,177.8,28,5,2
Red,WomenBantamweight,0.00390625,0.609375,4.68359375,2.747070313,2.588867188,21.00097656,535.2607422,1,3,5,1,2,167.64,40,1,3,0,0.15625,5.046875,14.71875,6.59375,9.71875,330.59375,1,4,2,2,0,175.26,31,4,3
Blue,WomenFlyweight,0.009765625,0.1875,2.22265625,53.66992188,3.672851563,2.204101563,135.0957031,0,2,5,1,1,165.1,35,1,4,0,0.095703125,0.564453125,64.52319336,3.058837891,0.33984375,15.39501953,1,3,8,0,0,167.64,34,-2,4
Red,Lightweight,1.093261719,0,0.097167969,24.14550781,6.196289063,8.823242188,20.53173828,4,7,2,8,0,187.96,32,7,2,0.065246582,2.390918493,4.765745997,90.86391747,12.72329783,8.847617269,119.5255345,2,4,6,8,3,182.88,32,4,7
Red,Middleweight,0,0.259765625,7.453125,15.11181641,1.868652344,3.579589844,460.9326172,1,5,5,0,5,200.66,30,1,2,0.187507629,0,3.233131409,19.8800354,2.18170929,1.579292297,62.40726471,0,5,6,2,0,187.96,33,2,10
Red,WomenStrawweight,0,1.25,2.125,23,4,9.125,192.5,0,4,0,0,2,167.64,27,4,2,0.0625,0.125,0.5625,29.75,12.5,13.375,65.4375,0,2,3,0,0,165.1,33,-1,2
Red,Middleweight,0.65625,0.03125,0.46875,13,1.46875,3.546875,19.328125,0,3,2,4,0,185.42,29,3,1,0.002197266,0.004150391,5.769287109,29.72509766,6.928222656,2.942382813,121.5378418,0,3,5,2,0,185.42,33,1,6
Red,Flyweight,0.75,0,0.5,20,2,7.75,24.375,0,2,2,2,0,172.72,37,-2,0,0,0.546875,0.765625,17.03125,0.5625,1,4.09375,0,4,3,0,2,177.8,31,-2,2
Blue,WomenFlyweight,0.125,0,2.875,67.875,1.75,1.375,48.875,0,2,1,1,0,172.72,34,2,2,0.125,0.00390625,4.7578125,43.1484375,1.5859375,3,321.4921875,1,1,5,1,0,175.26,38,-2,3
Red,Welterweight,0.031253815,0.009796143,6.228290319,40.76683807,14.46960878,6.988805771,328.8798692,0,7,6,5,1,203.2,33,1,11,0.000244141,0.165405273,6.592041016,6.694091797,1.769042969,10.50390625,530.5723877,1,3,4,0,6,190.5,33,2,4
Red,Welterweight,0.188127041,0.074752837,0.935589194,18.92204553,7.978861034,4.682703674,120.8528591,0,7,11,11,2,190.5,40,1,2,0.510437012,0.383026123,0.152496338,49.7736969,1.313232422,1.6900177,31.20773315,3,5,9,4,0,190.5,36,-1,3
Blue,Welterweight,0.895996094,0,2.596191406,36.76025391,4.092285156,1.959472656,127.7316895,0,4,4,6,0,180.34,32,1,3,1.462890625,0,0.767578125,60.04785156,1.428710938,4.752929688,58.27734375,0,7,2,5,0,185.42,34,-1,4
Red,Featherweight,0.3515625,0,0.8125,71.4296875,0.890625,7.1953125,35.1796875,0,2,2,4,0,182.88,32,2,2,0.011796713,0.067169189,0.04016304,117.9780412,6.483564377,0.734829187,3.661295176,8,13,6,8,2,175.26,29,-1,6
Blue,Bantamweight,0.13671875,0.3046875,1.810546875,73.74609375,4.166015625,2.416015625,85.453125,0,2,3,4,1,180.34,33,2,2,0.125,0.0703125,1.28125,29.5234375,0.5,0.5,15.1484375,1,4,3,2,1,170.18,32,-1,2
Blue,WomenBantamweight,0,0.125,0.75,75.875,6.5,0.125,36.875,1,2,2,0,0,167.64,29,-2,2,0.015625,0.75,3.09375,53.484375,2.59375,11.578125,228.0625,0,2,3,0,0,170.18,35,2,4
Red,Welterweight,0.875,0.0625,1,18.625,3.25,9.3125,67.0625,0,5,0,3,1,190.5,30,5,1,0.57232666,0,0.147460938,85.96551514,1.745544434,4.584289551,9.854797363,2,7,5,5,0,190.5,37,1,5
Red,Bantamweight,0.055419922,0.346435547,1.001525879,30.21484375,7.223632813,6.717285156,74.11621094,0,5,5,5,4,177.8,28,-1,1,0.032318115,0.00100708,0.643341064,61.86050415,2.164367676,0.386962891,2.252441406,12,7,6,4,0,177.8,34,7,6
Red,Welterweight,0.134765625,0.086914063,1.690429688,85.34277344,12.77636719,5.634765625,85.421875,0,3,4,1,1,182.88,30,2,5,0.093772888,0.18857193,0.521152496,44.02978134,3.868980408,2.05279541,18.86279297,4,5,9,3,4,182.88,33,-1,3
Red,Heavyweight,0.5,0,0.75,32.734375,0.25,14.6875,91.359375,0,2,3,3,0,203.2,32,-1,1,0.000488281,0.0078125,4.388183594,51.93603516,3.791015625,5.502929688,309.9345703,0,3,5,2,0,198.12,35,-1,5
Red,Middleweight,0.15637207,0.072631836,3.938964844,37.63269043,7.223266602,1.611328125,276.692749,0,5,5,4,4,182.88,41,5,1,0.3125,0.05859375,1.87109375,27.1875,3.96875,6,137,0,4,2,2,2,205.74,28,-1,3
Blue,Lightweight,0.375061154,1.254415959,0.930060476,23.8505426,2.71616137,4.549980819,22.94133711,0,7,9,2,14,187.96,31,2,1,0.004165649,0.193267822,0.085586548,117.2928925,0.931182861,1.519241333,1.422241211,3,12,2,3,6,193.04,36,3,4
Red,Featherweight,0.0078125,0.8359375,3.4921875,12.25,1.4296875,29.421875,233.375,0,2,4,1,3,175.26,35,2,0,0.004081726,0.003913879,0.593055725,93.78362274,15.91344452,2.085845947,46.94403839,0,6,7,4,0,177.8,37,-1,7
