"Winner","B_avg_SUB_ATT","B_avg_TD_att","B_avg_HEAD_landed","B_avg_BODY_landed","B_avg_LEG_landed","B_avg_GROUND_landed","B_avg_CTRL_time.seconds.","B_age","R_avg_SUB_ATT","R_avg_TD_att","R_avg_HEAD_landed","R_avg_BODY_landed","R_avg_LEG_landed","R_avg_GROUND_landed","R_avg_CTRL_time.seconds.","R_age"
"Red",0,0.75,27.109375,6.328125,14.234375,14.6875,91.359375,32,0.0078125,4.388183594,44.23193359,10.16699219,6.831054688,5.502929688,309.9345703,35
"Red",0.072631836,3.938964844,28.67199707,11.97241211,5.822875977,1.611328125,276.692749,41,0.05859375,1.87109375,25.84375,5.37109375,5.94140625,6,137,28
"Blue",1.254415959,0.930060476,19.72487697,6.756447226,4.635360599,4.549980819,22.94133711,31,0.193267822,0.085586548,64.15956116,28.54063416,27.04312134,1.519241333,1.422241211,36
"Red",0.8359375,3.4921875,33.3671875,5.6484375,4.0859375,29.421875,233.375,35,0.003913879,0.593055725,64.57354736,26.24742889,20.96193695,2.085845947,46.94403839,37
"Red",0.03125,2.46875,12.78125,3.6484375,8.9140625,5.515625,101.7890625,30,0.119750977,0.938354492,13.23925781,15.82592773,0.848876953,2.328369141,38.74511719,29
"Blue",0.140625,1.140625,18.671875,7.125,7.359375,1.4375,50.4375,32,0,0.136260986,32.31945801,7.692321777,15.70101929,10.61804199,79.58081055,35
"Blue",1.078125,2.53125,53.1484375,4.1875,2.484375,22.828125,108.1171875,27,0.734375,3.51171875,15.11328125,4.6796875,7.0546875,2.161132813,74.03320313,32
"Red",0.001953125,7.353515625,20.10546875,32.72460938,2.921875,7.900390625,261.1464844,30,0.188232422,1.991821289,23.35766602,6.716186523,6.870483398,1.687255859,33.37634277,32
"Blue",0.951171875,1.865234375,11.04882813,4.60546875,2.04296875,2.181640625,44.19140625,32,0.000307083,3.514442444,23.97260189,6.770998001,10.74367523,5.764844894,255.9195404,38
"Blue",0.12506485,4.261185646,38.20680618,16.40863132,6.602425098,3.013700008,201.0749083,36,0,0.92578125,35.65795898,9.789550781,10.69775391,10.52563477,210.5629883,29
"Blue",0.261810858,3.017491903,21.11157264,11.66823801,12.52723724,1.815986209,101.0080489,36,0.002929688,1.070678711,49.08178711,13.60437012,18.50158691,2.092407227,55.03601074,36
"Blue",0.738548279,3.757099152,70.1687088,10.49761963,4.511726379,35.53056335,323.5913734,41,0.03125,0.916156769,19.26737213,8.602039337,21.21972656,5.972091675,38.9940033,36
"Red",0,0,14.75,7.75,18.375,4.75,3.25,29,5.08e-07,0.133306743,27.23727353,10.18023722,14.72670684,0.056736574,10.20425235,41
"Blue",0,3.625,17.5625,13.5,1.25,1.375,68.25,28,0,0,49.375,28.375,14.125,6.625,56.5,34
"Blue",0,0.5,22.21875,7.65625,19.46875,2.375,30.71875,32,0.53125,0,17.1875,7.28125,16.0625,0.125,16.34375,34
"Red",0,0,8.578125,3.390625,1.5625,0.15625,0.265625,30,0.142578125,0.517578125,47.80859375,2.716796875,1.365234375,7.54296875,45.3203125,29
"Blue",1.125,3.25,12,2.375,4.375,3.875,64.875,25,0.28137207,4.504516602,46.30847168,21.0802002,11.36206055,10.97265625,306.237915,34
"Red",0.000368595,0.00013113,11.01374555,6.116232276,5.289682984,0.731938481,0.277187228,45,0.004150391,0.13861084,25.62634277,4.269836426,6.635864258,6.027404785,14.21820068,36
"Red",0.03137207,5.125305176,35.47039795,6.323791504,4.194763184,1.590026855,93.90869141,30,3.125,3.375,19.25,8.75,0.375,23.5,486.25,26
"Red",0.000976563,0.205200195,13.94604492,4.469238281,0.143676758,10.70605469,29.92333984,37,0,1.46875,38.4375,14.78125,8.734375,3,48.5625,32
"Red",0,1.375,15.3046875,3.4453125,1.3046875,5.1328125,30.5078125,26,0,1.125,15.625,5.5,2.0625,7.0625,152.25,28
"Blue",0,0.0625,18.5625,5.09375,10.09375,0.0625,60.90625,27,0.266309023,1.003968954,13.21084094,11.32221484,9.832671642,0.380963802,37.29219007,32
"Red",0,0.0234375,16.81640625,1.912109375,5.73828125,10.0234375,20.546875,36,0,6.635314941,33.57965088,8.924743652,23.93041992,3.627929688,87.22583008,29
"Red",0,0.015625,62.359375,7.5,21.703125,0.578125,8.9375,31,1.410644531,8.872070313,47.02783203,5.749023438,2.732910156,28.52294922,597.5966797,32
"Blue",0,1.5,38.1875,20.625,8.5625,13,91.75,26,0,0,20.4296875,5.3125,12.3125,0,6.9453125,29
"Blue",2.164550781,3.463867188,40.13769531,8.027832031,13.55419922,2.253417969,208.9326172,34,1.6875,3.625,18.9375,4.5625,3.875,15.4375,195.375,38
"Red",0.0546875,0.765625,43.171875,1.453125,1.15625,22.6796875,20.4140625,33,0.3671875,5.7890625,55.53125,11.2265625,4.2890625,0.640625,79.4609375,29
"Blue",0.125,0.90625,18.8125,7.34375,10.46875,3.59375,74.875,28,0.140625,1.5625,34.875,5.734375,6.4375,1,21.296875,32
"Blue",0.015625,5.776367188,19.46386719,5.333984375,3.662109375,9.005859375,431.8691406,34,0.023681641,1.879272461,40.7208252,12.57861328,5.51953125,2.276733398,261.3093262,38
